NOPD_Item,Type_,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location
A2007715,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/17/2015 12:37:27 PM,,,01/17/2015 12:58:06 PM,UNF,UNFOUNDED,N,3Y03,Sage St & Franklin Ave,70122,3,"(0.0, 0.0)"
A2008315,21J,MISSING JUVENILE,1A,21J,MISSING JUVENILE,1A,37369000,3513814,01/17/2015 12:43:33 PM,,,01/17/2015 02:44:27 PM,DUP,DUPLICATE,N,3U03,051XX Pauline Dr,70126,3,"(0.0, 0.0)"
A2011415,21J,MISSING JUVENILE,1A,21M,MISSING ADULT,1A,37369000,3513814,01/17/2015 01:16:51 PM,,,01/17/2015 01:39:33 PM,VOI,VOID,N,1K01,029XX Gravier St,70119,1,"(0.0, 0.0)"
A2012715,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/17/2015 01:26:17 PM,01/17/2015 01:27:26 PM,01/17/2015 01:38:57 PM,01/17/2015 01:44:26 PM,NAT,Necessary Action Taken,N,7I11,Bullard Ave & N I-10 Service Rd,70128,7,"(0.0, 0.0)"
A2013815,21J,MISSING JUVENILE,1A,21J,MISSING JUVENILE,1A,37369000,3513814,01/17/2015 01:39:41 PM,01/17/2015 01:39:41 PM,01/17/2015 01:39:46 PM,01/17/2015 02:17:19 PM,RTF,REPORT TO FOLLOW,N,4E04,065XX Berkley Dr,70131,4,"(0.0, 0.0)"
A2016115,24,MEDICAL,2B,29S,SUICIDE,2A,37369000,3513814,01/17/2015 02:11:00 PM,01/17/2015 05:07:58 PM,,01/17/2015 06:41:15 PM,NAT,Necessary Action Taken,N,7K06,131XX Saint Stephen Dr,70128,7,"(0.0, 0.0)"
A2017615,103M,MENTAL PATIENT,1A,103,DISTURBANCE (OTHER),2A,37369000,3513814,01/17/2015 02:31:40 PM,01/17/2015 02:32:23 PM,01/17/2015 02:40:19 PM,01/17/2015 03:14:25 PM,NAT,Necessary Action Taken,N,6P01,035XX Chestnut St,70115,6,"(0.0, 0.0)"
A2020015,21J,MISSING JUVENILE,1A,21J,MISSING JUVENILE,1A,37369000,3513814,01/17/2015 03:05:51 PM,01/17/2015 03:43:22 PM,01/17/2015 04:35:34 PM,01/17/2015 05:37:53 PM,RTF,REPORT TO FOLLOW,N,5M01,028XX Law St,70117,5,"(0.0, 0.0)"
A2020615,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/17/2015 03:12:13 PM,01/17/2015 03:13:04 PM,,01/17/2015 03:51:22 PM,NAT,Necessary Action Taken,N,8D06,Royal St & St Peter St,70130,8,"(0.0, 0.0)"
A2024415,24,MEDICAL,2B,21,COMPLAINT OTHER,2A,37369000,3513814,01/17/2015 03:56:48 PM,01/17/2015 05:02:32 PM,,01/17/2015 05:02:41 PM,NAT,Necessary Action Taken,N,8E03,013XX Decatur St,,8,"(0.0, 0.0)"
A2026615,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/17/2015 04:10:48 PM,01/17/2015 04:16:21 PM,,01/17/2015 05:35:19 PM,NAT,Necessary Action Taken,N,8D04,Bourbon St & Bienville St,70112,8,"(0.0, 0.0)"
A2026715,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/17/2015 04:12:10 PM,01/17/2015 04:42:19 PM,01/17/2015 04:55:42 PM,01/17/2015 05:03:52 PM,NAT,Necessary Action Taken,N,8G02,004XX Canal St,70130,8,"(0.0, 0.0)"
A2032815,21,COMPLAINT OTHER,1H,21,COMPLAINT OTHER,1H,37369000,3513814,01/17/2015 05:11:03 PM,,01/17/2015 05:11:03 PM,01/17/2015 05:22:09 PM,NAT,Necessary Action Taken,Y,3D02,042XX D'Hemecourt St,70119,0,"(0.0, 0.0)"
A2040915,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/17/2015 06:27:25 PM,01/17/2015 06:28:46 PM,01/17/2015 06:37:47 PM,01/17/2015 06:54:47 PM,NAT,Necessary Action Taken,N,8J02,Claiborne Onramp & Gravier St,70112,8,"(0.0, 0.0)"
A2046915,21J,MISSING JUVENILE,2A,21J,MISSING JUVENILE,2A,37369000,3513814,01/17/2015 07:25:04 PM,01/17/2015 07:30:03 PM,01/17/2015 07:32:04 PM,01/17/2015 08:32:08 PM,RTF,REPORT TO FOLLOW,N,5B03,013XX Arts St,70117,5,"(0.0, 0.0)"
A2047515,24,MEDICAL,2B,21,COMPLAINT OTHER,2A,37369000,3513814,01/17/2015 07:30:55 PM,01/17/2015 07:40:15 PM,01/17/2015 07:42:17 PM,01/17/2015 08:01:14 PM,NAT,Necessary Action Taken,N,2B02,047XX Tchoupitoulas St,70115,2,"(0.0, 0.0)"
A2050115,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/17/2015 07:54:59 PM,01/17/2015 07:54:59 PM,01/17/2015 07:57:20 PM,01/17/2015 08:14:52 PM,NAT,Necessary Action Taken,N,8D03,005XX N Rampart St,70112,8,"(0.0, 0.0)"
A2056315,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/17/2015 08:55:19 PM,01/17/2015 08:55:19 PM,01/17/2015 08:57:04 PM,01/17/2015 09:15:39 PM,NAT,Necessary Action Taken,N,6D03,Jackson Ave & Chestnut St,70130,6,"(0.0, 0.0)"
A2057515,21J,MISSING JUVENILE,1A,21J,MISSING JUVENILE,1A,37369000,3513814,01/17/2015 09:09:40 PM,,,01/17/2015 10:55:38 PM,VOI,VOID,N,6D02,012XX 8th St,70115,6,"(0.0, 0.0)"
A2057615,103M,MENTAL PATIENT,2A,21,COMPLAINT OTHER,2A,37369000,3513814,01/17/2015 09:10:28 PM,01/18/2015 01:42:38 AM,,01/18/2015 02:17:36 AM,UNF,UNFOUNDED,N,7P04,095XX Hayne Blvd,70127,7,"(0.0, 0.0)"
A2057815,29S,SUICIDE,2A,29,DEATH,2A,37369000,3513814,01/17/2015 09:11:07 PM,01/17/2015 11:13:29 PM,01/17/2015 11:17:41 PM,01/17/2015 11:57:26 PM,UNF,UNFOUNDED,N,1J02,010XX N Claiborne Ave,70116,1,"(0.0, 0.0)"
A2058015,21J,MISSING JUVENILE,1A,21J,MISSING JUVENILE,1A,37369000,3513814,01/17/2015 09:15:01 PM,,,01/17/2015 10:11:45 PM,VOI,VOID,N,2K02,016XX Hollygrove St,70118,2,"(0.0, 0.0)"
A2058215,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/17/2015 09:16:55 PM,,01/17/2015 09:16:55 PM,01/17/2015 11:04:39 PM,GOA,GONE ON ARRIVAL,Y,8D06,Toulouse St & Bourbon St,70112,8,"(0.0, 0.0)"
A2058315,29S,SUICIDE,1A,29S,SUICIDE,2A,37369000,3513814,01/17/2015 09:17:45 PM,01/17/2015 11:48:42 PM,,01/18/2015 12:17:39 AM,UNF,UNFOUNDED,N,5A05,013XX Elysian Fields Ave,70116,5,"(0.0, 0.0)"
A2060315,42,AGGRAVATED RAPE,1A,42,AGGRAVATED RAPE,1A,37369000,3513814,01/17/2015 09:45:37 PM,01/17/2015 11:47:20 PM,01/18/2015 12:28:41 AM,01/18/2015 06:12:16 AM,RTF,REPORT TO FOLLOW,N,7O10,071XX Yorktown Dr,70127,7,"(0.0, 0.0)"
A2064815,103M,MENTAL PATIENT,2A,103,DISTURBANCE (OTHER),2A,37369000,3513814,01/17/2015 10:42:00 PM,01/17/2015 11:36:12 PM,01/17/2015 11:48:31 PM,01/18/2015 01:22:18 AM,NAT,Necessary Action Taken,N,2O01,034XX Clara St,70115,2,"(0.0, 0.0)"
A2071815,21J,MISSING JUVENILE,2A,21J,MISSING JUVENILE,2A,37369000,3513814,01/18/2015 12:02:17 AM,,,01/18/2015 12:44:58 AM,VOI,VOID,N,3X01,019XX Treasure St,70122,3,"(0.0, 0.0)"
A2072715,29S,SUICIDE,2A,29S,SUICIDE,2A,37369000,3513814,01/18/2015 12:09:28 AM,01/18/2015 12:10:26 AM,01/18/2015 12:15:09 AM,01/18/2015 01:58:11 AM,RTF,REPORT TO FOLLOW,N,1J01,021XX Saint Ann St,70116,1,"(0.0, 0.0)"
A2072915,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/18/2015 12:10:18 AM,01/18/2015 01:21:13 AM,,01/18/2015 01:21:17 AM,NAT,Necessary Action Taken,N,2K01,083XX Oak St,70118,2,"(0.0, 0.0)"
A2077615,24,MEDICAL,2B,34C,AGGRAVATED BATTERY BY KNIFE,1A,37369000,3513814,01/18/2015 12:51:48 AM,01/18/2015 02:20:37 AM,01/18/2015 02:32:14 AM,01/18/2015 03:39:18 AM,RTF,REPORT TO FOLLOW,N,7O04,070XX Lawrence Rd,70126,7,"(0.0, 0.0)"
A2078215,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/18/2015 01:00:13 AM,01/18/2015 01:02:06 AM,01/18/2015 01:11:35 AM,01/18/2015 01:58:54 AM,NAT,Necessary Action Taken,N,8D05,005XX Bourbon St,70112,8,"(0.0, 0.0)"
A2079015,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/18/2015 01:15:28 AM,01/18/2015 01:18:51 AM,01/18/2015 01:25:23 AM,01/18/2015 01:34:42 AM,NAT,Necessary Action Taken,N,4I02,020XX Pace Blvd,70114,4,"(0.0, 0.0)"
A2089915,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/18/2015 03:32:50 AM,,01/18/2015 03:32:50 AM,01/18/2015 03:35:43 AM,NAT,Necessary Action Taken,Y,8D05,Conti St & Bourbon St,70112,8,"(0.0, 0.0)"
A2096215,103M,MENTAL PATIENT,1A,21,COMPLAINT OTHER,2A,37369000,3513814,01/18/2015 05:18:17 AM,01/18/2015 05:18:44 AM,01/18/2015 05:26:48 AM,01/18/2015 06:25:42 AM,NAT,Necessary Action Taken,N,1A01,015XX Esplanade Ave,70116,1,"(0.0, 0.0)"
A2098115,103M,MENTAL PATIENT,1A,63,PROWLER,2C,37369000,3513814,01/18/2015 06:14:39 AM,01/18/2015 06:26:55 AM,01/18/2015 06:48:26 AM,01/18/2015 08:37:52 AM,RTF,REPORT TO FOLLOW,N,3Q01,004XX Wallace Dr,70122,3,"(0.0, 0.0)"
A2100115,24,MEDICAL,2B,911,SILENT 911 CALL,2D,37369000,3513814,01/18/2015 07:07:00 AM,01/18/2015 07:38:42 AM,01/18/2015 07:44:24 AM,01/18/2015 08:04:06 AM,NAT,Necessary Action Taken,N,6E01,021XX Saint Charles Ave,70130,6,"(0.0, 0.0)"
A2104315,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/18/2015 08:11:35 AM,01/18/2015 08:12:04 AM,01/18/2015 08:21:20 AM,01/18/2015 08:31:57 AM,NAT,Necessary Action Taken,N,8E02,010XX Esplanade Ave,70116,8,"(0.0, 0.0)"
A2106715,21J,MISSING JUVENILE,1A,21J,MISSING JUVENILE,1A,37369000,3513814,01/18/2015 08:38:05 AM,01/18/2015 08:46:13 AM,01/18/2015 08:54:57 AM,01/18/2015 10:22:40 AM,RTF,REPORT TO FOLLOW,N,5L02,025XX N Galvez St,70117,5,"(0.0, 0.0)"
A2113415,103M,MENTAL PATIENT,1A,106,"OBSCENITY, EXPOSING",2A,37369000,3513814,01/18/2015 09:59:40 AM,01/18/2015 10:01:30 AM,01/18/2015 10:03:59 AM,01/18/2015 11:07:23 AM,NAT,Necessary Action Taken,N,1E04,004XX N Rampart St,70112,1,"(0.0, 0.0)"
A2118815,43,SIMPLE RAPE,2D,43,SIMPLE RAPE,2D,37369000,3513814,01/18/2015 11:22:43 AM,01/18/2015 11:24:45 AM,01/18/2015 11:29:11 AM,01/18/2015 11:45:17 AM,UNF,UNFOUNDED,N,2V01,040XX Panama Ct,70125,2,"(0.0, 0.0)"
A2119015,103M,MENTAL PATIENT,2A,103M,MENTAL PATIENT,2A,37369000,3513814,01/18/2015 11:23:02 AM,01/18/2015 11:25:04 AM,01/18/2015 11:34:38 AM,01/18/2015 11:37:26 AM,UNF,UNFOUNDED,N,4G04,012XX Opelousas Ave,70114,4,"(0.0, 0.0)"
A2119315,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/18/2015 11:24:28 AM,,01/18/2015 11:24:28 AM,01/18/2015 12:34:19 PM,NAT,Necessary Action Taken,Y,3L04,017XX Gentilly Blvd,70119,3,"(0.0, 0.0)"
A2125515,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/18/2015 12:28:35 PM,01/18/2015 12:56:35 PM,01/18/2015 01:00:28 PM,01/18/2015 01:24:24 PM,NAT,Necessary Action Taken,N,1J03,009XX N Galvez St,70119,1,"(0.0, 0.0)"
A2125915,103M,MENTAL PATIENT,1A,103M,MENTAL PATIENT,1A,37369000,3513814,01/18/2015 12:34:08 PM,01/18/2015 01:22:08 PM,01/18/2015 01:27:19 PM,01/18/2015 02:40:18 PM,NAT,Necessary Action Taken,N,2V03,013XX S Genois St,70125,2,"(0.0, 0.0)"
A2139715,103M,MENTAL PATIENT,1A,103M,MENTAL PATIENT,1A,37369000,3513814,01/18/2015 03:21:25 PM,,01/18/2015 03:21:25 PM,01/18/2015 03:52:47 PM,NAT,Necessary Action Taken,Y,3M04,046XX Paris Ave,70122,3,"(0.0, 0.0)"
A2148615,103M,MENTAL PATIENT,1A,103M,MENTAL PATIENT,1A,37369000,3513814,01/18/2015 05:03:02 PM,01/18/2015 05:05:30 PM,01/18/2015 05:15:07 PM,01/18/2015 05:43:16 PM,NAT,Necessary Action Taken,N,2L03,012XX Lowerline St,70118,2,"(0.0, 0.0)"
A2155315,103M,MENTAL PATIENT,1A,29S,SUICIDE,2A,37369000,3513814,01/18/2015 06:00:33 PM,01/18/2015 06:01:37 PM,01/18/2015 06:08:20 PM,01/18/2015 06:48:14 PM,NAT,Necessary Action Taken,N,1L01,003XX S Broad St,70119,1,"(0.0, 0.0)"
A2156115,103M,MENTAL PATIENT,1A,103,DISTURBANCE (OTHER),2A,37369000,3513814,01/18/2015 06:11:15 PM,01/18/2015 06:12:05 PM,01/18/2015 06:18:42 PM,01/18/2015 07:50:35 PM,NAT,Necessary Action Taken,N,2F04,048XX Camp St,70115,2,"(0.0, 0.0)"
A2158015,21J,MISSING JUVENILE,2A,21J,MISSING JUVENILE,2A,37369000,3513814,01/18/2015 06:40:14 PM,01/18/2015 06:40:48 PM,,01/18/2015 07:57:40 PM,RTF,REPORT TO FOLLOW,N,7I07,109XX Roger Dr,70127,7,"(0.0, 0.0)"
A2158915,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/18/2015 06:46:12 PM,01/18/2015 06:49:56 PM,01/18/2015 06:50:20 PM,01/18/2015 06:57:23 PM,NAT,Necessary Action Taken,N,8D01,Royal St & Canal St,70130,8,"(0.0, 0.0)"
A2161715,103M,MENTAL PATIENT,2A,103M,MENTAL PATIENT,2A,37369000,3513814,01/18/2015 07:12:14 PM,01/18/2015 07:13:23 PM,01/18/2015 07:19:37 PM,01/18/2015 09:37:29 PM,NAT,Necessary Action Taken,N,8G04,001XX Saint Charles Ave,70130,8,"(0.0, 0.0)"
A2177815,24,MEDICAL,2B,63,PROWLER,2C,37369000,3513814,01/18/2015 10:25:42 PM,01/18/2015 10:28:07 PM,01/18/2015 10:35:53 PM,01/18/2015 11:55:54 PM,NAT,Necessary Action Taken,N,1J01,021XX Saint Ann St,70116,1,"(0.0, 0.0)"
A2167315,24,MEDICAL,2B,21,COMPLAINT OTHER,1H,37369000,3513814,01/18/2015 08:36:47 PM,01/18/2015 08:37:55 PM,01/18/2015 08:40:30 PM,01/18/2015 09:07:43 PM,NAT,Necessary Action Taken,N,1K01,032XX Tulane Ave,70119,1,"(0.0, 0.0)"
A2176615,21J,MISSING JUVENILE,1A,21J,MISSING JUVENILE,1A,37369000,3513814,01/18/2015 10:17:42 PM,01/19/2015 12:17:07 AM,01/19/2015 12:22:36 AM,01/19/2015 01:55:35 AM,RTF,REPORT TO FOLLOW,N,4D03,025XX Valentine Ct,70131,4,"(0.0, 0.0)"
A2176915,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/18/2015 10:18:26 PM,01/18/2015 11:13:22 PM,01/18/2015 11:14:54 PM,01/18/2015 11:22:29 PM,UNF,UNFOUNDED,N,5H01,Desire St & N Claiborne Ave,70117,5,"(0.0, 0.0)"
A2178415,103M,MENTAL PATIENT,1A,21,COMPLAINT OTHER,1H,37369000,3513814,01/18/2015 10:34:54 PM,01/18/2015 10:38:16 PM,01/18/2015 10:34:54 PM,01/19/2015 12:08:07 AM,NAT,Necessary Action Taken,Y,8C02,003XX Chartres St,70130,8,"(0.0, 0.0)"
A2185215,103M,MENTAL PATIENT,2A,103D,DOMESTIC DISTURBANCE,2B,37369000,3513814,01/18/2015 11:45:34 PM,01/18/2015 11:48:49 PM,01/19/2015 12:09:16 AM,01/19/2015 02:21:29 AM,NAT,Necessary Action Taken,N,7K02,123XX S I-10 Service Rd,70128,7,"(0.0, 0.0)"
A2185315,103M,MENTAL PATIENT,1A,103M,MENTAL PATIENT,1A,37369000,3513814,01/18/2015 11:45:50 PM,01/18/2015 11:47:38 PM,01/18/2015 11:45:50 PM,01/19/2015 12:19:23 AM,NAT,Necessary Action Taken,Y,8G03,N Maestri Pl & Camp St,70130,8,"(0.0, 0.0)"
A2185515,103M,MENTAL PATIENT,1A,103,DISTURBANCE (OTHER),2A,37369000,3513814,01/18/2015 11:49:20 PM,01/18/2015 11:55:17 PM,01/19/2015 12:00:44 AM,01/19/2015 12:45:27 AM,NAT,Necessary Action Taken,N,1A01,St Bernard Ave & N Rampart St,70116,1,"(0.0, 0.0)"
A2189815,103M,MENTAL PATIENT,1A,103M,MENTAL PATIENT,1A,37369000,3513814,01/19/2015 12:49:07 AM,01/19/2015 12:59:27 AM,,01/19/2015 12:59:31 AM,NAT,Necessary Action Taken,N,6P01,014XX Foucher St,70115,6,"(0.0, 0.0)"
A2196315,103M,MENTAL PATIENT,1A,35,SIMPLE BATTERY,2A,37369000,3513814,01/19/2015 02:34:26 AM,01/19/2015 02:39:13 AM,01/19/2015 02:43:21 AM,01/19/2015 03:30:13 AM,NAT,Necessary Action Taken,N,4D05,053XX Tullis Dr,70131,4,"(0.0, 0.0)"
A2196615,24,MEDICAL,2B,21,COMPLAINT OTHER,2A,37369000,3513814,01/19/2015 02:38:46 AM,01/19/2015 02:39:30 AM,01/19/2015 02:45:34 AM,01/19/2015 03:12:35 AM,NAT,Necessary Action Taken,N,3A03,Metairie Rd & Fairway Dr,70118,3,"(0.0, 0.0)"
A2209415,103M,MENTAL PATIENT,1A,103M,MENTAL PATIENT,1A,37369000,3513814,01/19/2015 07:44:54 AM,01/19/2015 07:45:32 AM,01/19/2015 07:44:54 AM,01/19/2015 07:56:45 AM,NAT,Necessary Action Taken,Y,1M05,027XX Canal St,70119,1,"(0.0, 0.0)"
A2210115,103M,MENTAL PATIENT,1A,103M,MENTAL PATIENT,1A,37369000,3513814,01/19/2015 07:54:42 AM,01/19/2015 07:56:38 AM,01/19/2015 07:59:43 AM,01/19/2015 08:53:46 AM,NAT,Necessary Action Taken,N,4I02,020XX Pace Blvd,70114,4,"(0.0, 0.0)"
A2212415,21J,MISSING JUVENILE,1A,21J,MISSING JUVENILE,1A,37369000,3513814,01/19/2015 08:22:39 AM,01/19/2015 08:26:16 AM,01/19/2015 08:30:28 AM,01/19/2015 08:39:31 AM,UNF,UNFOUNDED,N,4C03,029XX Sabine St,70114,4,"(0.0, 0.0)"
A2213915,24,MEDICAL,2B,107,SUSPICIOUS PERSON,2A,37369000,3513814,01/19/2015 08:47:34 AM,01/19/2015 08:50:00 AM,01/19/2015 09:06:12 AM,01/19/2015 09:52:14 AM,NAT,Necessary Action Taken,N,8B02,007XX Decatur St,70116,8,"(0.0, 0.0)"
A2216915,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/19/2015 09:28:16 AM,01/19/2015 09:29:17 AM,01/19/2015 09:32:39 AM,01/19/2015 09:57:14 AM,NAT,Necessary Action Taken,N,8C03,005XX Decatur St,70130,8,"(0.0, 0.0)"
A2218415,21J,MISSING JUVENILE,1A,21J,MISSING JUVENILE,1A,37369000,3513814,01/19/2015 09:45:18 AM,01/19/2015 03:33:50 PM,01/19/2015 03:43:15 PM,01/19/2015 05:16:36 PM,RTF,REPORT TO FOLLOW,N,3Q01,048XX Allen St,70122,3,"(0.0, 0.0)"
A2219515,21J,MISSING JUVENILE,1A,21J,MISSING JUVENILE,1A,37369000,3513814,01/19/2015 09:56:08 AM,01/19/2015 08:30:32 PM,01/19/2015 08:38:55 PM,01/19/2015 10:03:44 PM,RTF,REPORT TO FOLLOW,N,7K04,145XX Duane Rd,70128,7,"(0.0, 0.0)"
A2220415,24,MEDICAL,2B,21,COMPLAINT OTHER,2A,37369000,3513814,01/19/2015 10:05:38 AM,01/19/2015 10:06:30 AM,01/19/2015 10:21:47 AM,01/19/2015 10:52:03 AM,RTF,REPORT TO FOLLOW,N,8F02,018XX N Rampart St,70116,8,"(0.0, 0.0)"
A2223115,21J,MISSING JUVENILE,2A,21J,MISSING JUVENILE,2A,37369000,3513814,01/19/2015 10:33:19 AM,01/19/2015 10:34:59 AM,01/19/2015 11:09:40 AM,01/19/2015 12:20:10 PM,RTF,REPORT TO FOLLOW,N,3T02,024XX Dreux Ave,70122,3,"(0.0, 0.0)"
A2252015,24,MEDICAL,2B,21,COMPLAINT OTHER,1H,37369000,3513814,01/19/2015 03:52:59 PM,01/19/2015 04:02:52 PM,01/19/2015 04:11:18 PM,01/19/2015 04:14:09 PM,NAT,Necessary Action Taken,N,2N03,025XX Soniat St,70115,2,"(0.0, 0.0)"
A2247215,21J,MISSING JUVENILE,1A,21J,MISSING JUVENILE,1A,37369000,3513814,01/19/2015 03:10:30 PM,01/20/2015 07:30:31 AM,01/20/2015 07:41:26 AM,01/20/2015 09:00:54 AM,RTF,REPORT TO FOLLOW,N,7L02,049XX Brittany Ct,70129,7,"(0.0, 0.0)"
A2256515,103M,MENTAL PATIENT,2A,103M,MENTAL PATIENT,2A,37369000,3513814,01/19/2015 04:34:40 PM,01/19/2015 04:36:00 PM,01/19/2015 04:45:04 PM,01/19/2015 05:30:30 PM,NAT,Necessary Action Taken,N,6F06,025XX La Salle St,70113,6,"(0.0, 0.0)"
A2257315,29S,SUICIDE,2A,29S,SUICIDE,2A,37369000,3513814,01/19/2015 04:40:07 PM,01/19/2015 04:44:02 PM,01/19/2015 05:04:00 PM,01/19/2015 05:06:36 PM,UNF,UNFOUNDED,N,3U04,044XX Congress Dr,70126,3,"(0.0, 0.0)"
A2258515,103M,MENTAL PATIENT,1A,103M,MENTAL PATIENT,2A,37369000,3513814,01/19/2015 04:49:50 PM,01/19/2015 04:52:05 PM,01/19/2015 04:58:46 PM,01/19/2015 05:41:58 PM,NAT,Necessary Action Taken,N,2V03,013XX S Genois St,70125,2,"(0.0, 0.0)"
A2265115,103M,MENTAL PATIENT,2A,103M,MENTAL PATIENT,2A,37369000,3513814,01/19/2015 05:55:31 PM,01/19/2015 06:14:48 PM,01/19/2015 06:30:40 PM,01/19/2015 07:46:54 PM,NAT,Necessary Action Taken,N,5E01,054XX N Rampart St,70117,5,"(0.0, 0.0)"
A2265215,21J,MISSING JUVENILE,1A,21J,MISSING JUVENILE,1A,37369000,3513814,01/19/2015 05:57:24 PM,,,01/19/2015 07:09:18 PM,VOI,VOID,N,2K03,018XX Dante St,70118,2,"(0.0, 0.0)"
A2266615,29S,SUICIDE,2A,29S,SUICIDE,2A,37369000,3513814,01/19/2015 06:07:58 PM,01/19/2015 06:08:44 PM,01/19/2015 06:17:42 PM,01/19/2015 07:35:31 PM,RTF,REPORT TO FOLLOW,N,3U04,044XX Congress Dr,70126,3,"(0.0, 0.0)"
A2268215,21J,MISSING JUVENILE,1A,21J,MISSING JUVENILE,2A,37369000,3513814,01/19/2015 06:26:52 PM,01/19/2015 11:46:16 PM,01/20/2015 12:21:19 AM,01/20/2015 12:50:14 AM,RTF,REPORT TO FOLLOW,N,2V03,047XX Washington Ave,70125,2,"(0.0, 0.0)"
A2268515,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/19/2015 06:29:28 PM,,01/19/2015 06:36:31 PM,01/19/2015 07:06:26 PM,NAT,Necessary Action Taken,N,8C01,001XX Royal St,70130,8,"(0.0, 0.0)"
A2272115,29S,SUICIDE,1B,29S,SUICIDE,1B,37369000,3513814,01/19/2015 06:58:15 PM,01/19/2015 07:02:32 PM,,01/19/2015 07:15:48 PM,UNF,UNFOUNDED,N,2T01,Joliet St & Apricot St,70118,2,"(0.0, 0.0)"
A2272215,103M,MENTAL PATIENT,1A,103M,MENTAL PATIENT,1A,37369000,3513814,01/19/2015 07:00:22 PM,01/19/2015 07:01:30 PM,01/19/2015 07:00:22 PM,01/19/2015 07:52:48 PM,NAT,Necessary Action Taken,Y,8I01,001XX Baronne St,70112,8,"(0.0, 0.0)"
A2303615,24,MEDICAL,2A,24,MEDICAL,2A,37369000,3513814,01/20/2015 01:28:47 AM,01/20/2015 01:32:50 AM,01/20/2015 01:32:55 AM,01/20/2015 01:56:27 AM,NAT,Necessary Action Taken,N,8D06,006XX Bourbon St,70130,8,"(0.0, 0.0)"
A2276115,103M,MENTAL PATIENT,1A,21J,MISSING JUVENILE,1A,37369000,3513814,01/19/2015 07:40:10 PM,01/19/2015 11:23:27 PM,01/19/2015 11:38:25 PM,01/20/2015 01:32:39 AM,NAT,Necessary Action Taken,N,7L01,056XX Red Maple Dr,70129,7,"(0.0, 0.0)"
A2279015,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/19/2015 08:13:29 PM,01/19/2015 08:23:09 PM,01/19/2015 08:30:59 PM,01/19/2015 08:31:05 PM,NAT,Necessary Action Taken,N,6G04,007XX Howard Ave,70130,6,"(0.0, 0.0)"
A2280715,103M,MENTAL PATIENT,1A,103M,MENTAL PATIENT,1A,37369000,3513814,01/19/2015 08:25:34 PM,01/19/2015 09:40:12 PM,01/19/2015 09:44:48 PM,01/19/2015 09:47:14 PM,UNF,UNFOUNDED,N,6F02,030XX La Salle St,70115,6,"(0.0, 0.0)"
A2284815,24,MEDICAL,2B,21,COMPLAINT OTHER,1H,37369000,3513814,01/19/2015 09:10:52 PM,01/19/2015 09:17:13 PM,01/19/2015 09:10:52 PM,01/19/2015 09:35:57 PM,NAT,Necessary Action Taken,Y,8D04,003XX Bourbon St,70112,8,"(0.0, 0.0)"
A2286015,21J,MISSING JUVENILE,1A,21J,MISSING JUVENILE,1A,37369000,3513814,01/19/2015 09:20:32 PM,01/20/2015 09:19:40 AM,01/20/2015 09:34:23 AM,01/20/2015 09:37:58 AM,UNF,UNFOUNDED,N,3V01,061XX Campus Blvd,70126,3,"(0.0, 0.0)"
A2288115,24,MEDICAL,2B,21,COMPLAINT OTHER,2A,37369000,3513814,01/19/2015 09:29:21 PM,01/19/2015 09:32:27 PM,,01/19/2015 10:16:22 PM,NAT,Necessary Action Taken,N,5A05,019XX Saint Claude Ave,70116,5,"(0.0, 0.0)"
A2291615,42,AGGRAVATED RAPE,2A,21,COMPLAINT OTHER,1H,37369000,3513814,01/19/2015 10:06:37 PM,01/19/2015 10:06:37 PM,,01/19/2015 11:03:46 PM,RTF,REPORT TO FOLLOW,N,3U02,049XX Chef Menteur Hwy,70126,3,"(0.0, 0.0)"
